,time_of_purchase,club_membership,checkout_type,payment_method,product_code,department,items_in_purchase,cost,cashier,return
0,28062021--10:21,1,0,3,1,3,2,8.63,88,0
1,28062021--11:03,1,0,3,1,41,30,33.06,45,0
2,28062021--11:06,1,0,2,4,0,9,1270.21,49,0
3,28062021--11:16,1,0,3,4,12,9,882.09,31,0
4,28062021--11:24,1,0,1,4,7,93,564.54,44,0
5,28062021--12:11,1,0,0,1,1,18,6.96,75,0
6,28062021--12:21,0,0,0,3,7,2,39.69,60,0
7,28062021--12:38,1,0,2,2,11,7,4.59,43,0
8,28062021--12:53,0,0,0,7,1,121,7.51,48,0
9,28062021--12:55,1,0,2,2,9,69,0.98,46,0
10,28062021--13:00,1,0,0,2,3,14,6.5,65,0
11,28062021--13:14,0,0,2,0,1,8,11.42,23,0
12,28062021--13:19,1,0,1,2,4,18,14.48,77,0
13,28062021--13:20,0,0,1,6,41,10,248.06,50,0
14,28062021--13:22,1,0,2,4,14,21,882.09,45,0
15,28062021--13:26,1,0,2,2,29,42,15.93,73,0
16,28062021--13:28,0,0,1,6,15,5,400.0,88,0
17,28062021--13:28,1,0,2,2,11,2,4.54,49,0
18,28062021--13:32,1,0,2,1,6,97,18.8,42,0
19,28062021--13:34,1,0,3,1,11,12,2.27,38,0
20,28062021--13:39,1,0,2,1,4,9,7.73,57,0
21,28062021--13:56,1,0,0,1,15,43,1.07,68,0
22,28062021--13:56,1,0,0,1,9,1,14.06,58,0
23,28062021--13:57,1,0,2,1,9,41,2.49,67,0
24,28062021--14:00,1,0,0,2,13,20,17.65,26,0
25,28062021--14:03,1,0,2,4,0,18,882.09,64,0
26,28062021--14:03,0,0,3,3,20,9,82.81,48,0
27,28062021--14:04,1,0,3,1,7,8,2.5,49,0
28,28062021--14:12,1,0,1,1,1,3,3.23,55,0
29,28062021--14:13,1,0,0,2,1,30,6.6,48,0
30,28062021--14:14,1,0,1,1,6,12,30.91,49,0
31,28062021--14:18,1,0,2,4,0,84,882.09,30,0
32,28062021--14:21,1,0,2,2,11,13,4.65,54,0
33,28062021--14:23,1,0,2,2,1,15,17.71,80,0
34,28062021--14:29,1,0,3,2,7,22,1.66,70,0
35,28062021--14:36,1,0,3,2,9,3,15.98,58,0
36,28062021--14:36,1,0,3,4,5,32,352.84,32,0
37,28062021--14:43,1,0,0,4,28,45,793.88,56,0
38,28062021--14:56,1,0,0,1,10,46,6.02,44,0
39,28062021--14:56,1,0,0,2,0,8,1.82,84,0
40,28062021--15:00,1,0,2,4,0,5,1270.21,44,0
41,28062021--15:03,1,0,3,2,1,53,6.43,58,0
42,28062021--15:06,1,0,1,4,10,21,225.82,27,0
43,28062021--15:14,1,0,2,1,41,49,47.33,35,0
44,28062021--15:16,1,0,1,1,7,4,4.33,74,0
45,28062021--15:16,1,0,2,1,10,4,0.56,49,0
46,28062021--15:20,1,0,2,4,4,30,882.09,51,0
47,28062021--15:20,1,0,3,2,10,15,15.42,40,0
48,28062021--15:22,0,0,0,3,41,83,237.16,30,0
49,28062021--15:23,1,0,1,4,0,20,882.09,51,0
50,28062021--15:25,1,0,2,2,9,6,5.84,31,0
51,28062021--15:25,0,0,3,3,31,25,59.29,60,0
52,28062021--15:27,1,0,2,1,1,4,16.53,38,0
53,28062021--15:28,0,0,0,1,41,6,82.81,61,0
54,28062021--15:29,0,0,2,0,1,6,54.46,76,1
55,28062021--15:30,1,0,2,1,41,12,19.06,67,0
56,28062021--15:30,0,0,2,0,0,3,13.56,40,0
57,28062021--15:32,0,0,3,0,1,22,30.58,24,1
58,28062021--15:34,1,0,3,4,4,11,564.54,31,0
59,28062021--15:34,1,0,0,1,41,5,12.87,47,0
60,28062021--15:34,1,0,0,2,6,34,1.35,85,0
61,28062021--15:35,1,0,2,1,6,131,16.23,51,0
62,28062021--15:37,1,0,0,2,1,8,18.03,72,0
63,28062021--15:37,1,0,1,1,6,2,4.68,43,0
64,28062021--15:39,1,0,1,2,0,20,25.4,36,0
65,28062021--15:42,1,0,2,1,41,6,7.15,46,0
66,28062021--15:43,1,0,1,4,0,7,1270.21,34,0
67,28062021--15:45,1,0,3,1,21,41,9.74,57,0
68,28062021--15:48,1,0,2,1,15,28,16.69,59,0
69,28062021--15:49,1,0,3,2,1,18,1.43,28,0
70,28062021--15:51,1,0,0,2,41,89,18.73,85,0
71,28062021--15:54,1,0,2,2,6,41,5.02,82,0
72,28062021--15:56,0,0,2,3,11,8,59.29,42,0
73,28062021--15:59,0,0,1,6,15,4,153.76,79,0
74,28062021--15:59,1,0,3,2,0,12,17.56,40,0
75,28062021--16:02,1,0,0,2,41,44,0.14,53,0
76,28062021--16:04,1,0,2,2,5,102,15.43,89,0
77,28062021--16:08,0,0,0,3,9,7,59.29,56,0
78,28062021--16:11,1,0,0,6,9,5,69.89,48,0
79,28062021--16:15,1,0,0,4,7,15,35.28,31,0
80,28062021--16:16,1,0,0,1,9,4,11.69,95,0
81,28062021--16:16,1,0,2,1,16,36,3.0,55,0
82,28062021--16:19,1,0,0,2,1,1,12.84,58,0
83,28062021--16:21,1,0,1,4,0,7,285.8,34,0
84,28062021--16:21,1,1,1,5,4,47,110.25,0,0
85,28062021--16:23,1,0,1,2,9,2,7.19,85,0
86,28062021--16:23,1,0,1,2,11,1,10.49,38,0
87,28062021--16:25,1,0,3,4,5,63,564.54,32,0
88,28062021--16:32,0,0,2,3,41,7,150.06,52,0
89,28062021--16:34,1,0,3,2,10,88,1.57,55,0
90,28062021--16:34,1,0,0,2,24,112,6.62,58,0
91,28062021--16:34,1,0,1,2,5,6,17.16,91,0
92,28062021--16:38,1,0,3,1,16,5,12.43,62,0
93,28062021--16:39,1,0,0,2,7,9,17.57,58,0
94,28062021--16:44,1,0,1,2,4,129,59.29,52,1
95,28062021--16:44,0,0,0,0,1,4,34.57,25,1
96,28062021--16:44,1,0,2,2,3,4,6.17,52,0
97,28062021--16:49,0,0,0,0,1,133,162.01,37,1
98,28062021--16:50,1,0,1,1,6,7,15.29,41,0
99,28062021--16:50,1,0,0,1,15,5,6.98,35,0
100,28062021--16:50,1,0,2,2,6,7,19.24,92,0
101,28062021--16:52,1,0,1,4,5,5,564.54,31,0
102,28062021--17:00,1,0,3,2,23,108,3.19,31,0
103,28062021--17:01,1,0,2,1,41,24,18.1,35,0
104,28062021--17:03,1,0,0,2,1,33,9.85,84,0
105,28062021--17:03,0,0,1,0,14,6,18.06,33,0
106,28062021--17:05,1,0,3,4,0,7,564.54,33,0
107,28062021--17:07,1,0,0,2,4,4,17.53,35,0
108,28062021--17:10,1,0,1,1,22,66,441.0,51,1
109,28062021--17:13,1,0,3,2,1,53,11.98,53,0
110,28062021--17:24,1,0,0,1,33,124,7.34,42,0
111,28062021--17:24,1,0,2,4,0,1,317.55,29,0
112,28062021--17:24,1,0,0,2,1,12,10.46,64,0
113,28062021--17:31,1,0,3,1,41,94,12.81,51,0
114,28062021--17:31,0,0,0,3,0,44,82.81,35,0
115,28062021--17:33,0,0,2,0,0,5,11.42,27,0
116,28062021--17:36,1,0,3,4,0,15,1270.21,31,0
117,28062021--17:38,1,0,0,1,6,10,11.97,87,0
118,28062021--17:41,1,0,3,4,5,38,225.82,44,0
119,28062021--17:41,0,0,2,6,41,13,248.06,63,0
120,28062021--17:42,1,0,3,2,15,9,12.52,59,0
121,28062021--17:42,1,0,1,3,3,4,264.06,38,0
122,28062021--17:44,1,0,0,1,41,5,72.25,38,0
123,28062021--17:45,1,0,0,1,41,12,7.69,65,0
124,28062021--17:46,1,0,2,1,4,20,15.98,64,0
125,28062021--17:47,0,0,2,3,6,56,133.4,47,0
126,28062021--17:48,1,0,0,1,14,124,114.49,88,1
127,28062021--17:49,1,0,3,4,0,7,426.93,42,0
128,28062021--17:54,1,0,2,2,3,74,15.95,31,0
129,28062021--17:58,1,0,1,2,0,10,15.96,57,0
130,28062021--18:08,1,0,0,8,9,46,346.7,48,0
131,28062021--18:11,0,0,0,3,4,33,270.6,63,0
